stationid,yeardata,jday,timedata,watertemp1_avg,watertemp1Flag,sp_cond1_avg,salinity1_avg,salinity1Flag,dis_oxy1_avg,dis_oxy1Flag,dis_oxy2_avg,dis_oxy2Flag,depth1_avg,depth1Flag,comments
122,2019,214,630,29.9699993,3,45.0099983,28.9799995,3,12.5,3,0,3,1.51600003,3,
122,2019,214,700,29.9099998,3,45.2599983,29.1599998,3,12.5,3,0,3,1.53999996,3,
122,2019,214,730,29.8600006,3,44.9500008,28.9300003,3,12.6000004,3,0,3,1.51800001,3,
122,2019,214,800,29.8400002,3,45.2700005,29.1700001,3,12.3999996,3,0,3,1.56599998,3,
122,2019,214,830,29.8700008,3,44.9599991,28.9400005,3,12.6999998,3,0,3,1.57299995,3,
122,2019,214,900,29.9300003,3,44.7999992,28.8199997,3,12.6000004,3,0,3,1.54200006,3,
122,2019,214,930,29.9799995,3,45.0400009,28.9899998,3,12.5,3,0,3,1.58599997,3,
122,2019,214,1000,30.0499992,3,44.4700012,28.5799999,3,12.6999998,3,0,3,1.60000002,3,
122,2019,214,1030,30.3199997,3,44.4900017,28.5900002,3,12.6999998,3,0,3,1.59800005,3,
122,2019,214,1100,30.2900009,3,44.2200012,28.3999996,3,12.6000004,3,0,3,1.61600006,3,
122,2019,214,1130,30.2999992,3,44.2000008,28.3799992,3,12.5,3,0,3,1.61899996,3,
122,2019,214,1200,30.5200005,3,44.2000008,28.3700008,3,12.6000004,3,0,3,1.63699996,3,
122,2019,214,1230,30.6900005,3,43.9099998,28.1599998,3,12.6999998,3,0,3,1.57200003,3,
122,2019,214,1300,30.6499996,3,44.1800003,28.3600006,3,12.6999998,3,0,3,1.58000004,3,
122,2019,214,1330,30.9699993,3,43.1500015,27.6100006,3,12.6999998,3,0,3,1.51400006,3,
122,2019,214,1400,30.8199997,3,43.7799988,28.0599995,3,12.6000004,3,0,3,1.49000001,3,
122,2019,214,1430,30.7900009,3,43.7999992,28.0799999,3,12.6999998,3,0,3,1.48000002,3,
122,2019,214,1500,30.6900005,3,43.3899994,27.7900009,3,12.6999998,3,0,3,1.45899999,3,
122,2019,214,1530,30.6700001,3,43.2799988,27.7099991,3,12.5,3,0,3,1.44000006,3,
122,2019,214,1600,30.6200008,3,43.3400002,27.7600002,3,12.5,3,0,3,1.43299997,3,
122,2019,214,1630,30.6499996,3,43.3199997,27.7399998,3,12.6000004,3,0,3,1.40900004,3,
122,2019,214,1700,30.6700001,3,43.2999992,27.7199993,3,12.3999996,3,0,3,1.38499999,3,
122,2019,214,1730,30.7700005,3,43.25,27.6900005,3,12.3000002,3,0,3,1.36199999,3,
122,2019,214,1800,30.8899994,3,40.7299995,25.8899994,3,12.1999998,3,0,3,1.37199998,3,
122,2019,214,1830,30.8199997,3,40.6500015,25.8400002,3,12.1000004,3,0,3,1.36699998,3,
122,2019,214,1900,30.7999992,3,39.3300018,24.9099998,3,12.1999998,3,0,3,1.36699998,3,
122,2019,214,1930,30.7399998,3,39.2299995,24.8299999,3,12.1999998,3,0,3,1.32799995,3,
122,2019,214,2000,30.6900005,3,40.1599998,25.4899998,3,12.1999998,3,0,3,1.32599998,3,
122,2019,214,2030,30.6299992,3,39.8400002,25.2700005,3,12.1999998,3,0,3,1.31700003,3,
122,2019,214,2100,30.6000004,3,39.3300018,24.9099998,3,12.1999998,3,0,3,1.31400001,3,
122,2019,214,2130,30.5900002,3,39.0800018,24.7299995,3,12.1000004,3,0,3,1.29700005,3,
122,2019,214,2200,30.5400009,3,38.6699982,24.4400005,3,12.1000004,3,0,3,1.296,3,
122,2019,214,2230,30.5,3,36.7700005,23.1200008,3,12.1999998,3,0,3,1.31400001,3,
122,2019,214,2300,30.4599991,3,35.3400002,22.1299992,3,12.1999998,3,0,3,1.30900002,3,
122,2019,214,2330,30.3999996,3,34.6300011,21.6299992,3,12,3,0,3,1.33700001,3,
122,2019,214,2400,30.3299999,3,36.4700012,22.9099998,3,12.1000004,3,0,3,1.35000002,3,
122,2019,215,30,30.3799992,3,37.5999985,23.7000008,3,12.1000004,3,0,3,1.34599996,3,
122,2019,215,100,30.3500004,3,38.0099983,23.9899998,3,12.1000004,3,0,3,1.34599996,3,
122,2019,215,130,30.5,3,39.6800003,25.1599998,3,12.1000004,3,0,3,1.34300005,3,
122,2019,215,200,30.5499992,3,40.1599998,25.5,3,12.1000004,3,0,3,1.352,3,
122,2019,215,230,30.7199993,3,41.5299988,26.4599991,3,12.1000004,3,0,3,1.35399997,3,
122,2019,215,300,30.2800007,3,43.1599998,27.6399994,3,12,3,0,3,1.36199999,3,
122,2019,215,330,30,3,44.6800003,28.7299995,3,12,3,0,3,1.38999999,3,
122,2019,215,400,29.8799992,3,45.1100006,29.0499992,3,12,3,0,3,1.37899995,3,
122,2019,215,430,29.8299999,3,45.5699997,29.3799992,3,12,3,0,3,1.39699996,3,
122,2019,215,500,29.7399998,3,45.9599991,29.6599998,3,11.8999996,3,0,3,1.41700006,3,
122,2019,215,530,29.7299995,3,45.5200005,29.3500004,3,12.1000004,3,0,3,1.42799997,3,
122,2019,215,600,29.6800003,3,44.8699989,28.8799992,3,12.6000004,3,0,3,1.45700002,3,
122,2019,215,630,29.6499996,3,45.1399994,29.0699997,3,12.6999998,3,0,3,1.495,3,
122,2019,215,700,29.6599998,3,44.7299995,28.7800007,3,12.6999998,3,0,3,1.50699997,3,
122,2019,215,730,29.6800003,3,44.4000015,28.5400009,3,12.6999998,3,0,3,1.53699994,3,
122,2019,215,800,29.6900005,3,43.2000008,27.6800003,3,12.6999998,3,0,3,1.55299997,3,
122,2019,215,830,29.7099991,3,43.8800011,28.1700001,3,12.6000004,3,0,3,1.574,3,
122,2019,215,900,29.7600002,3,45.2599983,29.1599998,3,12.6999998,3,0,3,1.56799996,3,
122,2019,215,930,29.8099995,3,45.4199982,29.2700005,3,12.6000004,3,0,3,1.59399998,3,
122,2019,215,1000,29.8099995,3,44.9599991,28.9400005,3,12.6999998,3,0,3,1.59000003,3,
122,2019,215,1030,29.9200001,3,44.7000008,28.75,3,12.6999998,3,0,3,1.59399998,3,
122,2019,215,1100,30.0300007,3,44.4799995,28.5900002,3,12.6000004,3,0,3,1.60399997,3,
122,2019,215,1130,30.1599998,3,44.8199997,28.8299999,3,12.6000004,3,0,3,1.61600006,3,
122,2019,215,1200,30.1599998,3,44.8100014,28.8199997,3,12.6999998,3,0,3,1.61800003,3,
122,2019,215,1230,30.3099995,3,44.6199989,28.6800003,3,12.6000004,3,0,3,1.61899996,3,
122,2019,215,1300,30.3899994,3,44.7799988,28.7999992,3,12.6999998,3,0,3,1.602,3,
122,2019,215,1330,30.5499992,3,44.6100006,28.6700001,3,12.6999998,3,0,3,1.60300004,3,
122,2019,215,1400,30.5699997,3,44.7900009,28.7900009,3,12.6999998,3,0,3,1.58099997,3,
122,2019,215,1430,30.6200008,3,45.0200005,28.9599991,3,12.6999998,3,0,3,1.54299998,3,
122,2019,215,1500,30.8299999,3,44.6100006,28.6599998,3,12.6000004,3,0,3,1.50399995,3,
122,2019,215,1530,31.0599995,3,44.1599998,28.3299999,3,12.5,3,0,3,1.48500001,3,
122,2019,215,1600,30.7700005,3,44.2799988,28.4300003,3,12.3999996,3,0,3,1.48599994,3,
122,2019,215,1630,30.5599995,3,44.3400002,28.4799995,3,12.3999996,3,0,3,1.45799994,3,
122,2019,215,1700,30.7600002,3,43.9500008,28.1800003,3,12.3999996,3,0,3,1.45500004,3,
122,2019,215,1730,30.7999992,3,43.5499992,27.8999996,3,12.3000002,3,0,3,1.47599995,3,
122,2019,215,1800,30.7299995,3,43.5699997,27.9200001,3,12.3999996,3,0,3,1.46399999,3,
122,2019,215,1830,30.8999996,3,42.5699997,27.2000008,3,12.1999998,3,0,3,1.42999995,3,
122,2019,215,1900,30.8799992,3,42.1300011,26.8899994,3,12.1999998,3,0,3,1.42200005,3,
122,2019,215,1930,30.8700008,3,41.2999992,26.2999992,3,12.1000004,3,0,3,1.43200004,3,
122,2019,215,2000,30.8400002,3,41.8699989,26.7000008,3,12.1999998,3,0,3,1.41100001,3,
122,2019,215,2030,30.7700005,3,41.8600006,26.6900005,3,12.1999998,3,0,3,1.40100002,3,
122,2019,215,2100,30.75,3,41.6300011,26.5400009,3,12.1999998,3,0,3,1.39999998,3,
122,2019,215,2130,30.6800003,3,41.7299995,26.6100006,3,12.1999998,3,0,3,1.39199996,3,
122,2019,215,2200,30.6900005,3,41.3600006,26.3400002,3,12.3000002,3,0,3,1.38800001,3,
122,2019,215,2230,30.6299992,3,39.0900002,24.7399998,3,12.1000004,3,0,3,1.37600005,3,
122,2019,215,2300,30.6200008,3,38.9000015,24.6100006,3,12.1999998,3,0,3,1.37199998,3,
122,2019,215,2330,30.5100002,3,36.8899994,23.2000008,3,12.1000004,3,0,3,1.38999999,3,
122,2019,215,2400,30.5100002,3,37.5900002,23.6900005,3,12.1000004,3,0,3,1.40799999,3,
122,2019,216,30,30.5300007,3,40.3600006,25.6399994,3,12.1000004,3,0,3,1.40699995,3,
122,2019,216,100,30.4500008,3,39.0800018,24.7399998,3,12.1000004,3,0,3,1.40400004,3,
122,2019,216,130,30.4599991,3,39.2099991,24.8299999,3,12.1000004,3,0,3,1.40199995,3,
122,2019,216,200,30.4300003,3,39.0499992,24.7199993,3,12,3,0,3,1.40499997,3,
122,2019,216,230,30.5699997,3,41.4900017,26.4400005,3,12,3,0,3,1.40600002,3,
122,2019,216,300,30.5900002,3,40.5800018,25.7999992,3,12,3,0,3,1.38999999,3,
122,2019,216,330,30.7700005,3,42.4000015,27.0799999,3,11.8000002,3,0,3,1.37399995,3,
122,2019,216,400,30.3500004,3,43.7999992,28.0900002,3,12,3,0,3,1.39499998,3,
122,2019,216,430,30.3199997,3,44.0600014,28.2800007,3,12,3,0,3,1.41100001,3,
122,2019,216,500,30.2600002,3,44.2799988,28.4400005,3,11.8999996,3,0,3,1.41400003,3,
122,2019,216,530,30.2000008,3,43.9399986,28.2000008,3,12.1000004,3,0,3,1.42700005,3,
122,2019,216,600,30.2199993,3,43.9199982,28.1800003,3,12.6999998,3,0,3,1.44799995,3,
122,2019,216,630,30.1599998,3,44.2700005,28.4300003,3,12.3999996,3,0,3,1.45299995,3,
122,2019,216,700,30.1800003,3,44.4399986,28.5499992,3,12.3999996,3,0,3,1.45799994,3,
122,2019,216,730,30.1700001,3,44.5400009,28.6299992,3,12.5,3,0,3,1.48099995,3,
122,2019,216,800,30.1599998,3,44.3800011,28.5100002,3,12.3999996,3,0,3,1.48599994,3,
122,2019,216,830,30.1599998,3,44.3600006,28.5,3,12.3000002,3,0,3,1.50899994,3,
122,2019,216,900,30.1499996,3,44.5099983,28.6100006,3,12.5,3,0,3,1.51300001,3,
122,2019,216,930,30.1800003,3,44.5,28.6000004,3,12.6000004,3,0,3,1.52199996,3,
122,2019,216,1000,30.2399998,3,44.4000015,28.5300007,3,12.6000004,3,0,3,1.54900002,3,
122,2019,216,1030,30.2700005,3,44.5,28.6000004,3,12.6000004,3,0,3,1.53400004,3,
122,2019,216,1100,30.2199993,3,44.6599998,28.7099991,3,12.6999998,3,0,3,1.56500006,3,
122,2019,216,1130,30.3299999,3,44.4599991,28.5699997,3,12.6999998,3,0,3,1.54900002,3,
122,2019,216,1200,30.3899994,3,44.6699982,28.7099991,3,12.6000004,3,0,3,1.55200005,3,
122,2019,216,1230,30.4699993,3,44.6100006,28.6700001,3,12.6000004,3,0,3,1.53799999,3,
122,2019,216,1300,30.6000004,3,44.6399994,28.6900005,3,12.6000004,3,0,3,1.54900002,3,
122,2019,216,1330,30.6800003,3,44.5900002,28.6499996,3,12.6999998,3,0,3,1.56200004,3,
122,2019,216,1400,30.9099998,3,44.0499992,28.25,3,12.6999998,3,0,3,1.57000005,3,
122,2019,216,1430,30.6700001,3,44.8899994,28.8700008,3,12.6999998,3,0,3,1.55700004,3,
122,2019,216,1500,30.7999992,3,44.6899986,28.7199993,3,12.6000004,3,0,3,1.51900005,3,
122,2019,216,1530,31.1900005,3,43.8699989,28.1200008,3,12.3000002,3,0,3,1.52100003,3,
122,2019,216,1600,31.3899994,3,43.2700005,27.6800003,3,12.1999998,3,0,3,1.47399998,3,
122,2019,216,1630,31.4300003,3,43.0099983,27.4899998,3,12.3000002,3,0,3,1.48500001,3,
122,2019,216,1700,31.3099995,3,43.4599991,27.8199997,3,12.3000002,3,0,3,1.46500003,3,
122,2019,216,1730,31.3299999,3,43.0999985,27.5599995,3,12,3,0,3,1.47399998,3,
122,2019,216,1800,31.1000004,3,43.6800003,27.9899998,3,12.3000002,3,0,3,1.44400001,3,
122,2019,216,1830,31.2999992,3,42.8800011,27.4099998,3,12.1999998,3,0,3,1.43799996,3,
122,2019,216,1900,30.8600006,3,40.2700005,25.5699997,3,12.1999998,3,0,3,1.44299996,3,
122,2019,216,1930,30.9899998,3,42.0600014,26.8299999,3,12.3000002,3,0,3,1.42200005,3,
122,2019,216,2000,30.9799995,3,41.3699989,26.3400002,3,12.1999998,3,0,3,1.41799998,3,
122,2019,216,2030,30.6299992,3,36.0699997,22.6200008,3,12,3,0,3,1.44200003,3,
122,2019,216,2100,30.6299992,3,37.1599998,23.3899994,3,12.1999998,3,0,3,1.43299997,3,
122,2019,216,2130,30.8400002,3,39.5299988,25.0400009,3,12.1999998,3,0,3,1.43799996,3,
122,2019,216,2200,30.3500004,3,34.9599991,21.8600006,3,12.1000004,3,0,3,1.44700003,3,
122,2019,216,2230,30.7700005,3,39.9599991,25.3500004,3,12.1000004,3,0,3,1.43799996,3,
122,2019,216,2300,30.8600006,3,40.0900002,25.4400005,3,12.1000004,3,0,3,1.43499994,3,
122,2019,216,2330,30.75,3,39.5299988,25.0499992,3,12,3,0,3,1.42299998,3,
122,2019,216,2400,30.6299992,3,38.5800018,24.3899994,3,12.1999998,3,0,3,1.426,3,
122,2019,217,30,30.7900009,3,39.9799995,25.3600006,3,12.1000004,3,0,3,1.43200004,3,
122,2019,217,100,31.1100006,3,41.7400017,26.6000004,3,12,3,0,3,1.44000006,3,
122,2019,217,130,30.7199993,3,39.3300018,24.9099998,3,12.1000004,3,0,3,1.40699995,3,
122,2019,217,200,30.9300003,3,41.4000015,26.3600006,3,12,3,0,3,1.46099997,3,
122,2019,217,230,31.0100002,3,41.9300003,26.7399998,3,12,3,0,3,1.43799996,3,
122,2019,217,300,30.7900009,3,41.7000008,26.5799999,3,11.8999996,3,0,3,1.45000005,3,
122,2019,217,330,30.6599998,3,41.9099998,26.7399998,3,12,3,0,3,1.46099997,3,
122,2019,217,400,30.6399994,3,43.0299988,27.5300007,3,12,3,0,3,1.45200002,3,
122,2019,217,430,30.6100006,3,44.3699989,28.5,3,12,3,0,3,1.41799998,3,
122,2019,217,500,30.5400009,3,41.6100006,26.5300007,3,12,3,0,3,1.42700005,3,
122,2019,217,530,30.5499992,3,43.0099983,27.5200005,3,12,3,0,3,1.43200004,3,
122,2019,217,600,30.4799995,3,41.5900002,26.5100002,3,11.8999996,3,0,3,1.47099996,3,
122,2019,217,630,30.5200005,3,41.4199982,26.3899994,3,11.8999996,3,0,3,1.42999995,3,
122,2019,217,700,30.25,3,41.1599998,26.2199993,3,11.8999996,3,0,3,1.41999996,3,
122,2019,217,730,29.5900002,3,34.5499992,21.6000004,3,11.8999996,3,0,3,1.44200003,3,
122,2019,217,800,30.4300003,3,40.2299995,25.5499992,3,12,3,0,3,1.48099995,3,
122,2019,217,830,30.1100006,3,37.9000015,23.9200001,3,12.5,3,0,3,1.46599996,3,
122,2019,217,900,30.4099998,3,42.1699982,26.9300003,3,12.6999998,3,0,3,1.49000001,3,
122,2019,217,930,30.4699993,3,41.4700012,26.4300003,3,12.6000004,3,0,3,1.51300001,3,
122,2019,217,1000,30.4400005,3,41.8199997,26.6800003,3,12.6999998,3,0,3,1.46599996,3,
122,2019,217,1030,30.1200008,3,38.8199997,24.5599995,3,12.3999996,3,0,3,1.42799997,3,
122,2019,217,1100,30.3999996,3,41.0900002,26.1599998,3,12.3000002,3,0,3,1.49699998,3,
122,2019,217,1130,30.3999996,3,40.9099998,26.0300007,3,12.5,3,0,3,1.46099997,3,
122,2019,217,1200,30.4400005,3,41.0200005,26.1100006,3,12.6999998,3,0,3,1.48599994,3,
122,2019,217,1230,30.3700008,3,43.3199997,27.75,3,12.6999998,3,0,3,1.43200004,3,
122,2019,217,1300,30.4200001,3,42.2799988,27.0100002,3,12.6999998,3,0,3,1.48000002,3,
122,2019,217,1330,30.3799992,3,44.6699982,28.7099991,3,12.6999998,3,0,3,1.49600005,3,
122,2019,217,1400,30.5499992,3,40.9099998,26.0300007,3,12.6000004,3,0,3,1.421,3,
122,2019,217,1430,30.4400005,3,43,27.5200005,3,12.6999998,3,0,3,1.44000006,3,
122,2019,217,1500,30.4799995,3,42.4599991,27.1299992,3,12.6999998,3,0,3,1.45799994,3,
122,2019,217,1530,30.4799995,3,43.1100006,27.5900002,3,12.5,3,0,3,1.42700005,3,
122,2019,217,1600,30.4699993,3,42.9700012,27.4899998,3,12.3999996,3,0,3,1.47599995,3,
122,2019,217,1630,30.7000008,3,41.3400002,26.3299999,3,12.5,3,0,3,1.43700004,3,
122,2019,217,1700,30.7999992,3,40.6399994,25.8299999,3,12.3999996,3,0,3,1.41400003,3,
