stationid,yeardata,jday,timedata,watertemp1_avg,watertemp1Flag,sp_cond1_avg,salinity1_avg,salinity1Flag,dis_oxy1_avg,dis_oxy1Flag,dis_oxy2_avg,dis_oxy2Flag,depth1_avg,depth1Flag,comments
122,2019,5,1130,16.6599998,3,21.6000004,13.0200005,3,88.9000015,3,7.98999977,3,1.08200002,3,
122,2019,5,1200,16.3600006,3,30.3500004,18.8799992,3,87.0999985,3,7.61000013,3,1.079,3,
122,2019,5,1230,16.4099998,3,26.1599998,16.0499992,3,89.3000031,3,7.92999983,3,1.08800006,3,
122,2019,5,1300,16.6100006,3,22.7099991,13.75,3,90.5,3,8.11999989,3,1.08399999,3,
122,2019,5,1330,16.6599998,3,23.0200005,13.96,3,91.0999985,3,8.14999962,3,1.09200001,3,
122,2019,5,1400,16.4599991,3,33.7299995,21.2099991,3,88.8000031,3,7.63000011,3,1.08899999,3,
122,2019,5,1430,17.1000004,3,41.9099998,26.9500008,3,87.9000015,3,7.21000004,3,1.09599996,3,
122,2019,5,1500,17.3199997,3,48.5099983,31.7099991,3,89.3000031,3,7.09000015,3,1.10800004,3,
122,2019,5,1530,17.3299999,3,48.7999992,31.9200001,3,89.4000015,3,7.07999992,3,1.11399996,3,
122,2019,5,1600,17.3500004,3,49.0099983,32.0699997,3,89.5,3,7.07999992,3,1.13800001,3,
122,2019,5,1630,17.3700008,3,49.2299995,32.2400017,3,89.0999985,3,7.03999996,3,1.16400003,3,
122,2019,5,1700,17.3700008,3,48.7400017,31.8799992,3,91,3,7.21000004,3,1.18400002,3,
122,2019,5,1730,17.3899994,3,48.1800003,31.4699993,3,97.6999969,3,7.75,3,1.19799995,3,
122,2019,5,1800,17.3700008,3,48.0699997,31.3899994,3,97.3000031,3,7.73000002,3,1.21800005,3,
122,2019,5,1830,17.3799992,3,48.2599983,31.5300007,3,93.9000015,3,7.44999981,3,1.23599994,3,
122,2019,5,1900,17.3899994,3,49.1599998,32.1899986,3,89.6999969,3,7.09000015,3,1.24399996,3,
122,2019,5,1930,17.3500004,3,49.3899994,32.3499985,3,92.4000015,3,7.30000019,3,1.24699998,3,
122,2019,5,2000,17.3500004,3,49.3899994,32.3600006,3,91.5,3,7.23000002,3,1.255,3,
122,2019,5,2030,17.3199997,3,49.7099991,32.5900002,3,92,3,7.26000023,3,1.26499999,3,
122,2019,5,2100,17.3199997,3,49.7000008,32.5800018,3,92.8000031,3,7.32000017,3,1.26600003,3,
122,2019,5,2130,17.3199997,3,49.9099998,32.7400017,3,92,3,7.25,3,1.27699995,3,
122,2019,5,2200,17.3199997,3,49.9300003,32.75,3,90.9000015,3,7.17000008,3,1.26699996,3,
122,2019,5,2230,17.3199997,3,50.0400009,32.8300018,3,89.9000015,3,7.07999992,3,1.26699996,3,
122,2019,5,2300,17.3299999,3,50.1199989,32.8899994,3,91.8000031,3,7.23000002,3,1.25300002,3,
122,2019,5,2330,17.3199997,3,50.0900002,32.8699989,3,91.5,3,7.21000004,3,1.23300004,3,
122,2019,5,2400,17.2900009,3,48,31.3400002,3,91.0999985,3,7.25,3,1.23399997,3,
122,2019,6,30,17.1299992,3,46.2700005,30.0900002,3,91.3000031,3,7.34000015,3,1.20299995,3,
122,2019,6,100,16.7800007,3,43.8600006,28.3400002,3,86.5,3,7.07999992,3,1.18799996,3,
122,2019,6,130,17.1499996,3,47.2900009,30.8199997,3,90.1999969,3,7.21000004,3,1.17299998,3,
122,2019,6,200,16.6299992,3,43.0099983,27.7399998,3,90.8000031,3,7.46999979,3,1.14300001,3,
122,2019,6,230,16.7199993,3,43.6100006,28.1599998,3,91.5,3,7.5,3,1.11199999,3,
122,2019,6,300,16.9099998,3,45.0999985,29.2299995,3,90.3000031,3,7.32999992,3,1.09099996,3,
122,2019,6,330,16.6499996,3,40.4599991,25.9099998,3,91.0999985,3,7.57999992,3,1.09000003,3,
122,2019,6,400,16.9599991,3,44.8300018,29.0499992,3,89,3,7.21999979,3,1.06500006,3,
122,2019,6,430,16.4500008,3,38.8800011,24.7999992,3,84.9000015,3,7.13999987,3,1.05499995,3,
122,2019,6,500,16.4200001,3,34.0699997,21.4400005,3,86.5,3,7.42999983,3,1.05299997,3,
122,2019,6,530,16.2999992,3,29.3199997,18.1800003,3,82.5,3,7.25,3,1.03499997,3,
122,2019,6,600,16.1299992,3,27.9899998,17.2800007,3,91.5999985,3,8.11999989,3,1.02699995,3,
122,2019,6,630,16.1800003,3,28.6499996,17.7199993,3,88.8000031,3,7.84000015,3,1.01100004,3,
122,2019,6,700,16.2299995,3,29.25,18.1299992,3,89.9000015,3,7.90999985,3,0.986000001,3,
122,2019,6,730,15.9099998,3,27.7199993,17.0900002,3,89.9000015,3,8.01000023,3,0.977999985,3,
122,2019,6,800,16.1399994,3,26.6599998,16.3799992,3,86.5,3,7.69999981,3,0.976000011,3,
122,2019,6,830,16.1299992,3,25.3500004,15.5100002,3,91.5,3,8.19999981,3,0.976999998,3,
122,2019,6,900,16.2099991,3,24.25,14.7700005,3,91.4000015,3,8.21000004,3,0.963,3,
122,2019,6,930,16.2600002,3,23.3199997,14.1599998,3,91.5999985,3,8.25,3,0.972000003,3,
122,2019,6,1000,16.3199997,3,22.7199993,13.7600002,3,90.5,3,8.15999985,3,0.97299999,3,
122,2019,6,1030,16.3999996,3,22.0499992,13.3199997,3,91.6999969,3,8.27999973,3,0.976000011,3,
122,2019,6,1100,16.4300003,3,21.9200001,13.2299995,3,90.4000015,3,8.15999985,3,0.991999984,3,
122,2019,6,1130,16.5699997,3,21.1599998,12.7399998,3,92.5999985,3,8.35999966,3,1.01300001,3,
122,2019,6,1200,16.6800003,3,23.4099998,14.2200003,3,91.6999969,3,8.18000031,3,1.02199996,3,
122,2019,6,1230,16.6499996,3,22.6900005,13.7399998,3,86.8000031,3,7.78000021,3,1.03799999,3,
122,2019,6,1300,16.75,3,20.6900005,12.4200001,3,93.8000031,3,8.44999981,3,1.03199995,3,
122,2019,6,1330,16.8700008,3,21.5200005,12.9700003,3,93.4000015,3,8.36999989,3,1.03600001,3,
122,2019,6,1400,16.8899994,3,21.5,12.96,3,94.9000015,3,8.5,3,1.03299999,3,
